Data,Descrição,Valor,Tipo
01/01/2024,Supermercado Extra,345.67,despesa
02/01/2024,Salário,5000.00,receita
03/01/2024,Uber para trabalho,28.50,despesa
05/01/2024,Farmácia Drogasil,89.90,despesa
10/01/2024,Aluguel,1500.00,despesa
12/01/2024,Freelance - Design,800.00,receita
15/01/2024,Restaurante Italiano,120.00,despesa
18/01/2024,Investimento em ações,1000.00,investimento
20/01/2024,Netflix,39.90,despesa
22/01/2024,Gasolina,200.00,despesa
25/01/2024,Conta de luz,145.78,despesa
28/01/2024,Dividendos,85.00,receita
30/01/2024,Padaria,42.30,despesa
